City,Category,Spot Name (English),Spot Name (Korean),Neighborhood,Michelin Status,Official Source Link
Busan,Milmyeon & Noodles,Halmae Gaya Milmyeon,할매가야밀면,Jung-gu (Nampo / BIFF Square),None,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=102&lang_cd=ko
Busan,Milmyeon & Noodles,Seo-myeon Gaegeum Milmyeon,서면개금밀면,Busanjin-gu (Seomyeon),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=53836
Busan,Milmyeon & Noodles,Gijang Sonkalguksu,기장손칼국수,Busanjin-gu (Seomyeon Market),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=54208
Busan,Korean-Chinese & Dumplings,Hwaguk Banjeom,화국반점,Jung-gu,None,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1227&lang_cd=ko
Busan,Grilled Meat & Jokbal,Haeundae Amso Galbijip,해운대암소갈비집,Haeundae-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=73814
Busan,Grilled Meat & Jokbal,Busan Jokbal,부산족발,"Jung-gu (Jokbal Alley, Gukje Market)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=193340
Busan,Classic Korean & Specialty,Songjeong Samdae Gukbap,송정3대국밥,Busanjin-gu (Seomyeon),None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=216936
Busan,Classic Korean & Specialty,Dongnae Halmae Pajeon,동래할매파전,Dongnae-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1520
Busan,Classic Korean & Specialty,Jagalchi Market,자갈치시장,Jung-gu (Nampo-dong),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=69318
Busan,Classic Korean & Specialty,Bujeon Market,부전시장,Busanjin-gu,None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301003001000&uc_seq=327&lang_cd=en
Busan,Snacks & Cafes,Samjin Eomuk Main Store,삼진어묵 본점,Yeongdo-gu,None,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1065&lang_cd=ko
Busan,Snacks & Cafes,Brown Hands Baekje,브라운핸즈 백제,Dong-gu (near Busan Station),None,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=231&lang_cd=ko
Daejeon,Noodles,Sutgol Won Naengmyeon,숯골원냉면,Yuseong-gu,None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=189714
Daejeon,Noodles,OC Kalguksu (Ossi Kalguksu),오씨칼국수,Dong-gu,None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190242
Daejeon,Classic Korean & Specialty,Sariwon Myeonok Main Store,사리원면옥 본점,Jung-gu,None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=192337
Daejeon,Classic Korean & Specialty,Taepyeong Sogukbap,태평소국밥,Yuseong-gu (Bongmyeong-dong),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=189445
Daejeon,Bakery,Sungsimdang Main Store,성심당 본점,Jung-gu (Eunhaeng-dong),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140069
Cheonan,Byeongcheon Sundae,Cheonghwa-jip,청화집,"Byeongcheon-myeon, Dongnam-gu",None (no Michelin coverage in Cheonan),https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=06b2df94-881f-4bb2-995e-95cd1f456b6f
Cheonan,Byeongcheon Sundae,Chungnam-jip Sundae,충남집순대,"Byeongcheon-myeon, Dongnam-gu",None (no Michelin coverage in Cheonan),https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1867767f-50b2-44fe-8a28-f73c8dcbbbaf
Cheonan,Byeongcheon Sundae,Aunae Jangteo Sundae,아우내 장터순대,Dongnam-gu (Aunae-sundae-gil),None (no Michelin coverage in Cheonan),https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=9b636650-b8f3-4153-9863-0765d9964ba0
Cheonan,Byeongcheon Sundae,Byeongcheon Sundae Street (area),천안 병천순대거리,"Byeongcheon-myeon, Dongnam-gu",None (no Michelin coverage in Cheonan),https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1dd2654d-103c-4ea6-ad5d-3dc938826f05
Cheonan,Korean-Chinese,Dongsunwon Seonghwan Main Branch,동순원 성환본점,Seobuk-gu (Seonghwan Station),None (no Michelin coverage in Cheonan),https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=4a6321da-c1ef-4061-ace9-0358cda8a9cf
Seoul,Noodles,Hwangsaengga Kalguksu,황생가칼국수,"Bukchon, Jongno-gu",Bib Gourmand 2026,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=86236
Seoul,Classic Korean,Myeongdongjeong,명동정,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58977
Seoul,Classic Korean,Myeongdong Eomeonijip,명동어머니집,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/eat/myeongdong-eomeonijip1_/13573
Seoul,Classic Korean,Yeongyang Center,영양센터,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/Yeongyang-Center/ENP012371
Seoul,Snacks,Myeongdong Chungmu Gimbap,명동충무김밥,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/MyeongdongChungmuGimbap/ENP7m82bh
Busan,Milmyeon & Noodles,Dongnae Milmyeon,동래밀면,Dongnae-gu,None,https://visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=2205&lang_cd=en
Busan,Milmyeon & Noodles,Daeyeon Milmyeon,대연밀면,Nam-gu,None,https://visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1510&lang_cd=en
Busan,Milmyeon & Noodles,Samseong Milmyeon,삼성밀면,Busanjin-gu (Choeup-dong),None,https://visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1507&lang_cd=en
Busan,Milmyeon & Noodles,Gaya Halmae Milmyeon,가야할매밀면,Yeonje-gu,None,https://visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=94&lang_cd=en
Suwon,Galbi,Bonsuwon Galbi,본수원갈비,Paldal-gu (Uman-dong),None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=86767
Suwon,Galbi,Yeonpo Galbi,연포갈비,Paldal-gu (Buksu-dong),None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=105973
Suwon,Galbi,Kabojung,가보정,Paldal-gu (Ingye-dong),None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=188614
Suwon,Chicken street,Suwon Chicken Street (area),수원통닭거리,Paldal-gu,None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=176166
Seoul,Noodles,Pildong Myeonok,필동면옥,"Pil-dong / Chungmuro, Jung-gu",Bib Gourmand 2026,https://english.visitseoul.net/eat/pildong-myeonok1/ENP013409
Seoul,Classic Korean,Yennal Myeongdong Budaejjigae,옛날명동부대찌개,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/Myeongdong-Budae-Jjigae/ENP012430
Seoul,Classic Korean,Wonjo Namsan Wangdonkkaseu Myeongdong,원조남산왕돈까스 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57489
Busan,Milmyeon & Noodles,Ilmi Milmyeon,일미밀면,Jung-gu,None,https://visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=2285&lang_cd=en
Busan,Classic Korean & Specialty,Jamae Gukbap,자매국밥,Suyeong-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=2365
Suwon,Budae jjigae,Leenakyeong Songtan Budaejjigae,이나경송탄부대찌개,Paldal-gu,None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=188601
Daejeon,Noodles,Daeseon Kalguksu Dunsan Main Store,대선칼국수 둔산본점,Seo-gu (Dunsan),None (no Michelin in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190303
Daejeon,Noodles,Samdaejjae Jeontong Kalguksu,삼대째전통칼국수,Dong-gu (near Daejeon Station),None (no Michelin in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190271
Seoul,Noodles,Sadong Myeonok,사동면옥,"Insadong, Jongno-gu",None,https://english.visitseoul.net/restaurants/Sadong-Myeonok-E/ENP011974
Seoul,Noodles,Insadong Sujebi,인사동수제비,"Insadong, Jongno-gu",None,https://english.visitseoul.net/restaurants/Insadong-Sujebi1/ENP014605
Seoul,Dessert & cafe,Gyeongin Misulgwan Jeontong Dawon,경인미술관 전통다원,"Insadong, Jongno-gu",None,https://english.visitseoul.net/eat/Gyeongin-Misulgwan-Jeontong-Dawon/ENP010878
Busan,Classic Korean & Specialty,Jaegi Dwaeji Gukbap,재기돼지국밥,Yeongdo-gu (Namhang Market),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1837
Suwon,Snack,Nostalgic Dalgona,추억의달고나,Paldal-gu (Haenggung-ro),None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=188184
Seoul,Classic Korean,Yukdaejang Myeongdong,육대장 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=59340
Seoul,Grilled meat,Myeongdong Hanubang,명동한우방,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=60163
Seoul,Classic Korean,Seowon,서원,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59730
Seoul,Classic Korean,Nwijo,뉘조,"Insadong, Jongno-gu",None,https://english.visitseoul.net/restaurants/Nwijo-EN/ENP006156
Busan,Grilled Meat & Jokbal,Geodae Galbi,거대갈비,Haeundae-gu (Dalmaji),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=141
Busan,Grilled Meat & Jokbal,88 Dwaeji Galbi,88돼지갈비,Dong-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1536
Daejeon,Classic Korean & Specialty,Byeolcheonji Sikdang,별천지식당,Dong-gu (Daebyeol-dong),None (no Michelin in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190269
Seoul,Classic Korean,Miseongok,미성옥,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=50596
Seoul,Classic Korean,Myth Jokbal Myeongdong,미쓰족발명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60339
Seoul,Grilled meat,Myeongdong Seoseo Galbi,명동서서갈비,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59233
Seoul,Grilled meat,Jangsu Galbi,장수갈비,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=47672
Seoul,Classic Korean,Jongno Samgyetang,종로삼계탕,Jongno-gu,None,https://english.visitseoul.net/area/JongnoGinsengChickenSoup/ENPz0vzz8
Seoul,Noodles,Myeongdong Hamheung Myeonok,명동함흥면옥,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/Myeongdong-Hamheung-Myeonok_/5254
Seoul,Classic Korean,Hanaro Hwaegwan,하나로회관,"Insadong, Jongno-gu",None,https://english.visitseoul.net/eat/Hanaro-Hwaegwan/ENP007430
Seoul,Grilled meat,Chung Ki Wa Town Main Branch,청기와타운 본점,Yeongdeungpo-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=172390
Busan,Milmyeon & Noodles,Yangpyeong Kalguksu,양평칼국수,Saha-gu (Dadaepo),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1117
Busan,Taiwanese,Banpin,반핀,Busanjin-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1482
Busan,Classic Korean & Specialty,Ungcheonjip,웅천집,Geumgok-daero 616beon-gil,None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1279&lang_cd=en
Suwon,Market,Suwon Yeongdong Market,수원 영동시장,Paldal-gu,None (no Michelin in Suwon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=70886
Daejeon,Noodles,Sonamujip,소나무집,Jung-gu,None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=216935
Daejeon,Classic Korean & Specialty,Gaecheon Sikdang,개천식당,Dong-gu (Jungang Market),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190264
Daejeon,Classic Korean & Specialty,Baekcheonjip Sikdang,백천집식당,Dong-gu (Jungang Market),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190288
Daejeon,Classic Korean & Specialty,Gangnam Myeonok Dunsan Branch,강남면옥 둔산점,Seo-gu (Dunsan),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=190326
Seoul,Noodles,Nampo Myeonok,남포면옥,"City Hall / Euljiro, Jung-gu",VisitKorea historic Michelin mention (not 2026 Bib),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=99736
Seoul,Noodles,Hyundai Kalguksu,현대칼국수,"City Hall, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=99750
Seoul,Noodles,Halmeoni Kalguksu,할머니칼국수,"Jongno 3-ga, Jongno-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=44539
Seoul,Grilled meat,Janganmun,장안문,"Euljiro, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60442
Seoul,Classic Korean,Sanchon,산촌,"Insadong, Jongno-gu",None,https://english.visitseoul.net/restaurants/sanchon-en/ENP014518
Seoul,Classic Korean,Hamcho Ganjang Gejang,함초간장게장,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/eat/hamcho-ganjang-gejang_/30890
Seoul,Classic Korean,Jeonju Hoegwan,전주회관,"Bukchang-dong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=92943
Seoul,Classic Korean,Jungsungbon Shabu Suki Kalguksu,정성본샤브수끼칼국수,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58372
Seoul,Classic Korean,Janggeumi Jeonjip,장금이전집,"Myeongdong / Toegye-ro, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58390
Seoul,Classic Korean,Yonggeumok,용금옥,"Da-dong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=68242
Seoul,Classic Korean,Geumseonggwan Najugomtang,금성관나주곰탕,"Namdaemun-ro, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59900
Busan,Snacks & Cafes,Choryang Ondang,초량온당,Dong-gu (Choryang),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1450
Seoul,Classic Korean,Sikdang Jin,식당진,"Myeongdong / Toegye-ro, Jung-gu",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=46202
Seoul,Grilled meat,Minsokchon,민속촌,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57201
Seoul,Classic Korean,Jongno Myeongtaedeokjang,종로명태덕장,Jongno-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57530
Seoul,Classic Korean,Nakji Wangguk,낙지왕국,Jongno-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57451
Seoul,Classic Korean,Gobong Samgyetang,고봉삼계탕,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60093
Seoul,Grilled meat,Jeongwon Sutbulgalbi,정원숯불갈비,Jongno-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57462
Seoul,Classic Korean,Dongdaemun Bonga Gamasot Seolleongtang,동대문본가가마솥설렁탕,Jongno-gu (Dongdaemun),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60481
Busan,Classic Korean & Specialty,Nampo Samgyetang,남포삼계탕,Jung-gu (Nampo),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1247
Daejeon,Classic Korean & Specialty,Hanbat Sikdang,한밭식당,Dong-gu (near Daejeon Station),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190282
Seoul,Classic Korean,Neungnabapsang,능라밥상,Jongno-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57555
Seoul,Classic Korean,RADOST,라도스트,Jongno-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57324
Seoul,Classic Korean,THE SIC-DDANG Myeongdong,더식당 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58027
Seoul,Classic Korean,Okcheon Maeun Jokbal,옥천매운족발,Jongno-gu (Dongdaemun),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=45694
Seoul,Classic Korean,Masan Place,마산집,"City Hall, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=99959
Seoul,Classic Korean,NOBIZIB,너비집,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=85673
Seoul,Classic Korean,Namhae Gulgukbap,남해굴국밥,Jongno-gu (Dongdaemun),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59851
Seoul,Classic Korean,Hongsugye Jjimdak,홍수계찜닭,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59834
Seoul,Grilled meat,Heukdonga Myeongdong,흑돈가 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=56783
Seoul,Noodles,Jinju Hoegwan,진주회관,"Seosomun, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=91314
Seoul,Noodles,Yennal Yeongil Naengmyeon,옛날연길냉면,Jongno-gu (Dongdaemun),None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58996
Seoul,Classic Korean,Jaembaeok,잼배옥,Jung-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=55677
Seoul,Noodles,Gangseo Myeonok,강서면옥,Jung-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=99506
Seoul,Classic Korean,Mirakjeong,미락정,Jung-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=55947
Daejeon,Noodles,Sindo Kalguksu Main Store,신도칼국수 본점,Dong-gu,None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=216933
Daejeon,Noodles,Buchu Haemul Kalguksu Sikdang,부추해물칼국수식당,Daedeok-gu (Sintanjin),None (no Michelin coverage in Daejeon),https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=190211
Busan,Milmyeon & Noodles,Danggam Milmyeon,당감밀면,Busanjin-gu,None,https://visitbusan.net/index.do?lang_cd=ko&menuCd=DOM_000000201002001000&uc_seq=1108
Busan,Classic Korean & Specialty,Samihun,사미헌,Busanjin-gu (Seomyeon),None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=87
Busan,Classic Korean & Specialty,Yeongjin Sikdang,영진식당,Saha-gu,None,https://visitbusan.net/index.do?lang_cd=ko&menuCd=DOM_000000201002001000&uc_seq=1514
Busan,Italian,Cor Pasta Bar,코르 파스타바,Busanjin-gu,Bib Gourmand 2026,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1820&lang_cd=en
Seoul,Noodles,Deogwon Kkorigomtang Bangchitang,덕원꼬리곰탕방치탕,"6 Beodeunaru-ro 6-gil, Yeongdeungpo-gu (Yeongdeungpo-dong 2-ga)",None,https://english.visitseoul.net/restaurants/Deogwon-Kkorigomtang-Bangchitang/ENP013807
Seoul,Noodles,Hamheung Naengmyeon,함흥냉면,"6 Yeongdeungpo-ro 42-gil, Yeongdeungpo-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=51072
Seoul,Noodles,Haeju Naengmyeon,해주냉면,"8-16 Baekjegobun-ro 7-gil, Songpa-gu (Seokchon / Jamsil)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=47610
Seoul,Noodles,Neungrado Myeongdong Branch,능라도 명동점,"3F, 53 Myeongdong-gil, Jung-gu (Myeongdong 1-ga)",None,https://english.visitseoul.net/restaurants/NeungradoMyeongdongBranch/ENP5biuc6
Seoul,Grilled meat,Joseonok,조선옥,"6-5 Eulji-ro 15-gil, Jung-gu (Euljiro 3-ga)",None,https://english.visitseoul.net/restaurants/Joseonok-EN/ENP006970
Seoul,Grilled meat,Daepyeong Galbi,대평갈비,"83 Pyeongchangmunhwa-ro, Jongno-gu (Pyeongchang-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=46584
Seoul,Classic Korean,Gwanghwamun Gukbap,광화문국밥,"53 Sejong-daero 21-gil, Jung-gu (Jeong-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191554
Seoul,Classic Korean,Tongdwaeji Duruchigi,통돼지두루치기,"252-6 Jong-ro, Jongno-gu (by Dongdaemun Gate)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60056
Seoul,Classic Korean,Myeongdong Busanjib,명동부산집,"11-6 Myeongdong 8-gil, Jung-gu",None,https://english.visitseoul.net/restaurants/MyeongdongBusanjib/ENPf6pbif
Seoul,Classic Korean,Myeongdong Chaeum Hanjongshik,명동채움 한정식,"B2, 7 Toegye-ro 18-gil, Jung-gu (Namsan-dong 2-ga)",None,https://english.visitseoul.net/restaurants/MyeongdongChaeum/ENPlvokp2
Busan,Milmyeon & Noodles,Haeundae Gaya Milmyeon,해운대 가야밀면,"27 Jwadongsunhwan-ro, Haeundae-gu (Jwa-dong)",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=187036
Busan,Milmyeon & Noodles,1969 Buwondong Kalguksu Busan Main Branch,1969부원동칼국수 부산본점,"1F, 3 Gudeok-ro 22beon-gil, Jung-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=2345
Busan,Grilled Meat & Jokbal,Pyeongan-do Jokbal,평안도족발,"14 Dalmaji-gil, Haeundae-gu",None,https://www.visitbusan.net/index.do?menuCd=DOM_000000301002001000&uc_seq=201&lang_cd=en
Busan,Grilled Meat & Jokbal,Gwangalli Eonyang Bulgogi Busanjip,,"32 Namcheonbada-ro, Suyeong-gu (Gwangalli)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=950
Busan,Classic Korean & Specialty,Sinchang Gukbap,신창국밥,"53 Bosu-daero, Seo-gu (near Gukje Market)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=198
Busan,Classic Korean & Specialty,Gayapocha Seonjigukbap Main Branch,가야포차선지국밥 본점,"58 Gayagongwon-ro, Busanjin-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=2326
Busan,Classic Korean & Specialty,Pohang Dwaeji Gukbap,포항돼지국밥,"25 Seomyeon-ro 68beon-gil, Busanjin-gu (Seomyeon local food street)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60053
Busan,Classic Korean & Specialty,Geumsubokguk Haeundae Branch,금수복국,"23 Jungdong 1-ro 43beon-gil, Haeundae-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=146
Busan,Classic Korean & Specialty,Jeju Bokguk,제주복국,"481 Jeoryeong-ro, Yeongdo-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1457&lang_cd=en
